 15days 30days 45days 30daysAfter15
2018-01-04 13.252940455020541 -18.236285579062553 -30.59595452070498 -52.52040200856775
2018-01-11 0.6993948438335362 -34.471070900132375 -33.28757986735315 -50.2810672229465
2018-01-18 -13.949903245850631 -29.925733042313936 -30.359634129703796 -39.09024415714502
2018-01-25 -39.2949670693801 -32.51025943347965 -31.33762362431279 -28.679102336343117
2018-02-01 -16.568857865495175 -20.056571870538573 -19.153610786536895 -20.922083629792734
2018-02-08 3.6723484611935078 -1.7213971135900905 -2.1637463768303347 -5.261395245300266
2018-02-15 6.435097703632016 1.267684527874905 -4.328120732830617 -9.7171022295453
2018-02-22 16.442034023618806 11.156126895458998 1.9248176322241073 -5.37807665509739
2018-03-01 5.450914432775994 -4.098260810135655 -9.608006757607466 -17.1374673527992
2018-03-08 0.3330510512994378 -6.214845363686045 -10.139218789619559 -15.375353710079057
2018-03-15 -0.562048380020137 -7.600673051891536 -13.992522438978128 -20.70775946845713
2018-03-22 -3.853516230469514 -6.579738893246682 -14.727677704324837 -20.164758441252495
2018-03-29 0.2853373458686971 -12.493216061757698 -20.714861015320352 -31.21496019591488
2018-04-05 -9.97513919808129 -16.472474121400555 -19.814331414403775 -24.73392752256503
2018-04-12 0.9407922977995649 -13.086036314742836 -13.61306894804888 -20.8899995709731
2018-04-19 -13.860385700064924 -20.145834925071604 -16.43815589688832 -17.727040995300023
2018-04-26 -20.808720690235024 -17.878287411510424 -13.417759248831334 -9.722278528129484
