EstacaoCodigo;NivelConsistencia;Data;Media;Vazao01;Vazao02;Vazao03;Vazao04;Vazao05;Vazao06;Vazao07;Vazao08;Vazao09;Vazao10;Vazao11;Vazao12;Vazao13;Vazao14;Vazao15;Vazao16;Vazao17;Vazao18;Vazao19;Vazao20;Vazao21;Vazao22;Vazao23;Vazao24;Vazao25;Vazao26;Vazao27;Vazao28;Vazao29;Vazao30;Vazao31
36160000;1;01/05/2020;7.62;37.419;27.092;20.384;15.898;12.569;9.941;8.023;6.512;5.436;4.592;3.846;3.268;2.967;2.554;2.303;2.303;2.303;3.347;3.674;7.035;4.592;5.108;9.941;6.902;6.77;6.016;4.494;3.59;2.895;2.364;2.069
36160000;1;01/04/2020;55.676;102.646;70.99;42.276;39.15;43.078;32.357;29.641;20.965;15.659;11.969;9.434;9.106;16.385;12.366;11.389;9.601;7.589;7.171;19.256;64.804;113.926;78.593;90.788;135.396;213.939;171.394;103.94;74.197;66.322;45.95;
36160000;1;01/03/2020;126.17;1.427;0.819;0.543;0.424;0.683;0.683;1.515;2.364;2.303;1.751;4.897;6.385;28.896;43.889;31.563;267.011;563.771;596.704;395.18;407.319;290.256;174.817;109.204;71.519;56.561;169.697;270.267;158.884;109.204;76.929;65.814
36160000;1;01/02/2020;1.048;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10.468;8.323;5.108;3.934;2.554;;
36160000;1;01/01/2020;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
36160000;1;01/12/2019;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
36160000;1;01/11/2019;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
36160000;1;01/10/2019;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
36160000;1;01/09/2019;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
36160000;1;01/08/2019;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
36160000;1;01/07/2019;0.001;0.006;0.004;0.004;0.003;0.003;0.002;0.001;0.001;0.001;0.001;0.001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
36160000;1;01/06/2019;0.041;0.168;0.098;0.06;0.048;0.048;0.048;0.048;0.048;0.041;0.048;0.048;0.041;0.041;0.041;0.041;0.041;0.034;0.034;0.041;0.034;0.034;0.029;0.024;0.019;0.016;0.013;0.01;0.01;0.008;0.006;
36160000;1;01/05/2019;1.794;3.76;4.592;6.902;10.648;6.385;4.024;2.895;2.126;1.751;1.384;1.147;0.974;0.819;0.709;0.634;0.587;0.543;0.819;0.521;0.442;0.442;0.564;0.521;0.442;0.389;0.356;0.31;0.282;0.243;0.22;0.198
36160000;1;01/04/2019;45.152;43.482;98.186;86.617;64.302;119.456;158.884;123.696;120.157;119.456;65.814;71.519;86.617;38.314;27.804;24.704;20.673;14.726;10.648;7.732;6.016;4.794;4.301;4.897;5.325;5.001;4.897;5.663;4.024;3.347;3.508;
36160000;1;01/03/2019;2.615;0.026;0.024;0.026;0.024;0.024;0.018;0.014;0.01;0.009;0.005;0.003;0.002;0.005;0.005;0.004;0.003;0.002;0.001;0.001;0;0;0;0.003;0.031;0.564;0.168;19.534;20.965;6.385;10.115;23.093
36160000;1;01/02/2019;0.021;0;0;0;0.001;0;0.005;0.004;0.003;0.002;0.001;0.001;0;0;0;0;0;0.003;0.041;0.022;0.016;0.011;0.178;0.08;0.06;0.048;0.041;0.034;0.031;;;
36160000;1;01/01/2019;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.001;0
36160000;1;01/12/2018;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
36160000;1;01/11/2018;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
36160000;1;01/10/2018;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
36160000;1;01/09/2018;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
36160000;1;01/08/2018;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
36160000;1;01/07/2018;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
36160000;1;01/06/2018;0.006;0.031;0.024;0.024;0.019;0.016;0.016;0.016;0.016;0.016;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
36160000;1;01/05/2018;0.92;1.427;1.223;2.554;2.554;1.853;1.427;11.2;0.879;0.763;0.61;0.521;0.442;0.389;0.296;0.325;0.282;0.243;0.22;0.198;0.178;0.159;0.159;0;0.119;0.105;0.086;0.08;0.07;0.065;0.06;0.044
36160000;1;01/04/2018;31.228;2.013;1.427;30.4;78.036;42.276;49.355;78.036;48.062;54.252;64.804;60.85;37.864;32.357;48.491;50.666;66.322;70.463;36.977;21.859;18.44;10.648;7.732;5.897;4.794;3.59;3.115;2.62;2.126;1.802;1.56;
36160000;1;01/03/2018;17.597;37.857;75.103;70.931;79.38;112.226;57.44;31.465;21.318;15.223;11.063;7.986;5.871;4.564;3.36;2.678;2.088;1.584;1.163;0.938;0.742;0;0;0;0;0;0;0;0;0.198;0.406;1.906
36160000;1;01/02/2018;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
36160000;1;01/01/2018;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
36160000;1;01/12/2017;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
36160000;1;01/11/2017;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
36160000;1;01/10/2017;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
